S.NO,YEAR,SEM,PAPER CODE,DEPARTMENT,TITLE OF THE PAPER,STR,EXAM DATE,SESSION
1,I,II,24UFTA02,B.A TAMIL,GENERAL TAMIL II,24,10.02.2026,FN
2,I,II,24UFEN02,B.A TAMIL,GENERAL ENGLISH II,24,10.02.2026,AN
3,I,II,23UTA03,B.A TAMIL,ARA ILAKKIYAM,24,11.02.2026,FN
4,I,II,23UTA04,B.A TAMIL,TAMIL ILAKKIYA VARALARU,24,11.02.2026,AN
5,I,II,23UTAE02,B.A TAMIL,NATTAR MARABHUGAL,24,12.02.2026,FN
6,I,II,23UTAS01,B.A TAMIL,ETHALIYAL,24,12.02.2026,AN
7,I,II,25UDM01,B.A TAMIL,DISASTER MANAGEMENT,24,13.02.2026,FN
8,I,II,23UHIN02,B.A TAMIL,BASIC JOURNALISM,24,13.02.2026,AN
9,II,IV,24UFTA04,B.A TAMIL,GENERAL TAMIL IV,21,10.02.2026,FN
10,II,IV,24UFEN04,B.A TAMIL,GENERAL ENGLISH IV,21,10.02.2026,AN
11,II,IV,23UTA07,B.A TAMIL,BAKTHI ILAKKIYAM,21,11.02.2026,FN
12,II,IV,23UTA08,B.A TAMIL,NANNOOL (SOL),21,11.02.2026,AN
13,II,IV,23UTAE04,B.A TAMIL,KOVIR KALAI,21,12.02.2026,FN
14,II,IV,23UTAS04,B.A TAMIL,AGARATHIYAL,21,12.02.2026,AN
15,II,IV,23UES01,B.A TAMIL,ENVIRONMENTAL STUDIES,21,13.02.2026,AN
16,III,VI,23UTA13,B.A TAMIL,SANGA ILAKKIYAN 2(PURAM),26,10.02.2026,FN
17,III,VI,23UTA14,B.A TAMIL,"ILAKANAM - YAPPUM,ANIYUM",26,10.02.2026,AN
18,III,VI,23UTA15,B.A TAMIL,ILAKIYA THIRANIVU,26,11.02.2026,FN
19,III,VI,23UTAE07,B.A TAMIL,NADAGAVIYAL,26,11.02.2026,AN
20,III,VI,23UTAE08,B.A TAMIL,SEMMOZHI TAMIL,26,12.02.2026,FN
21,III,VI,23UTAS06,B.A TAMIL,POTTI THERVUGALUKANA TAMIL ILAKKIYA VARALARU,26,12.02.2026,AN
22,I,II,24UFTA02,B.A ENGLISH,GENERAL TAMIL II,15,10.02.2026,FN
23,I,II,24UFEN02,B.A ENGLISH,GENERAL ENGLISH II,15,10.02.2026,AN
24,I,II,24UEN03,B.A ENGLISH,BRITISH LITERATURE-I,15,11.02.2026,FN
25,I,II,24UEN04,B.A ENGLISH,AMERICAN LITERATURE,15,11.02.2026,AN
26,I,II,24UENA02,B.A ENGLISH,SOCIAL HISTORY OF ENGLAND-II,15,12.02.2026,FN
27,I,II,24UENS01,B.A ENGLISH,SEC-DIGITAL LITERACY AND CONCEPTS,15,12.02.2026,AN
28,I,II,25UDM01,B.A ENGLISH,DISASTER MANAGEMENT,15,13.02.2026,FN
29,I,II,23UTAN02,B.A ENGLISH,NME-PAYANMURAI  TAMIL,15,13.02.2026,AN
30,III,VI,23UEN13,B.A ENGLISH,LITERARY CRITICISM ,15,10.02.2026,FN
31,III,VI,23UEN14,B.A ENGLISH,"BIOGRAPHIES, AUTOBIOGRAPHIES AND MEMORIES",15,10.02.2026,AN
32,III,VI,23UEN15,B.A ENGLISH,SHAKESPEARE STUDIES,15,11.02.2026,FN
33,III,VI,23 UENE04,B.A ENGLISH,COMMUNICATIVE  ENGLISH ,15,11.02.2026,AN
34,III,VI,23UENE05,B.A ENGLISH,DIGITAL LITERACY AND  CONCEPTS,15,12.02.2026,FN
35,III,VI,23UENPS01,B.A ENGLISH,INTERVIEW SKILLS ,15,12.02.2026,AN
36,I,II,24UFTA02,B.B.A,GENERAL TAMIL II,118,10.02.2026,FN
37,I,II,24UFEN02,B.B.A,GENERAL ENGLISH II,118,10.02.2026,AN
38,I,II,23UBA03,B.B.A,MARKETING MANAGEMENT ,118,11.02.2026,FN
39,I,II,23UBA04,B.B.A,ACCOUNTING FOR MANAGERS - II,118,11.02.2026,AN
40,I,II,23UBAE01,B.B.A,INTERNATIONAL BUSINESS,118,12.02.2026,FN
41,I,II,23UBAS01,B.B.A,BUSINESS ETIQUETTE AND CORPORATE GROOMING,118,12.02.2026,AN
42,I,II,25UDM01,B.B.A,DISASTER MANAGEMENT,118,13.02.2026,FN
43,I,II,23UTAN02,B.B.A,NME-PAYANMURAI  TAMIL,118,13.02.2026,AN
44,II,IV,24UFTA04,B.B.A,GENERAL TAMIL IV,66,10.02.2026,FN
45,II,IV,24UFEN04,B.B.A,GENERAL ENGLISH IV,66,10.02.2026,AN
46,II,IV,23UBA07,B.B.A,BUSINESS ENVIRONMENT,66,11.02.2026,FN
47,II,IV,23UBA08,B.B.A,BUSINESS REGULATORY FRAM WORK,66,11.02.2026,AN
48,II,IV,23UMAA12,B.B.A,OPERATIONS RESEARCH,66,12.02.2026,FN
49,II,IV,23UBAS03,B.B.A,INTELLECTUAL PROPERTY RIGHT,66,12.02.2026,AN
50,II,IV,23UES01,B.B.A,ENVIRONMENTAL STUDIES,66,13.02.2026,AN
51,III,VI,23UBA13,B.B.A,ENTREPRENEURIAL DEVELOPMENT,67,10.02.2026,FN
52,III,VI,23UBA14,B.B.A,SERVICES MARKETING,67,10.02.2026,AN
53,III,VI,23UBA15,B.B.A,PRODUCTION AND MATERIALS MANAGEMENT,67,11.02.2026,FN
54,III,VI,23UBAGE08,B.B.A,CONSUMER BEHAVIOUR,67,11.02.2026,AN
55,III,VI,23UBAGE13,B.B.A,STRATEGIC MANAGEMENT,67,12.02.2026,FN
56,III,VI,23UBAPCE02,B.B.A,QUANTITATIVE APTITUDE - II,67,12.02.2026,AN
57,I,II,24UFTA02,BCA,GENERAL TAMIL II,78,10.02.2026,FN
58,I,II,24UFEN02,BCA,GENERAL ENGLISH II,78,10.02.2026,AN
59,I,II,23UCA02,BCA,OBJECT ORIENTED PROGRAMMING USING C++,78,11.02.2026,FN
60,I,II,23UCASE03,BCA,WEB DESIGNING,78,11.02.2026,AN
61,I,II,23USTA04,BCA,STATISTICAL METHODS AND THEIR APPLICATIONS-II,78,12.02.2026,FN
62,I,II,25UDM01,BCA,DISASTER MANAGEMENT,78,13.02.2026,FN
63,I,II,23UCMN02,BCA,ADVERTISING,78,13.02.2026,AN
64,II,IV,24UFTA04,BCA,GENERAL TAMIL IV,66,10.02.2026,FN
65,II,IV,24UFEN04,BCA,GENERAL ENGLISH IV,66,10.02.2026,AN
66,II,IV,23UCA04,BCA,PROGRAMMING IN JAVA ,66,11.02.2026,FN
67,II,IV,23UCASE06,BCA,PROBLEM SOLVING TECHNIQUES,66,11.02.2026,AN
68,II,IV,23UMAA05,BCA,INTRODUCTION TO LINEAR ALGEBRA,66,12.02.2026,FN
69,II,IV,23UES01,BCA,ENVIRONMENTAL STUDIES,66,13.02.2026,AN
70,III,VI,23UCA07,BCA,COMPUTER NETWORKS,74,10.02.2026,FN
71,III,VI,23UCADE17,BCA,CLOUD COMPUTING,74,10.02.2026,AN
72,III,VI,23UCADE16,BCA,GRID COMPUTING,74,11.02.2026,FN
73,III,VI,23UCA08,BCA,DATA ANALYSTICS USING  R PROGRAMMING ,74,11.02.2026,AN
74,III,VI,23UCASE08,BCA,QUANTITATIVE APTITUDE,74,12.02.2026,FN
75,I,II,24UFTA02,B.COM,GENERAL TAMIL II,92,10.02.2026,FN
76,I,II,24UFEN02,B.COM,GENERAL ENGLISH II,92,10.02.2026,AN
77,I,II,23UCM03,B.COM,FINANCIAL ACCOUNTING-II,92,11.02.2026,FN
78,I,II,23UCM04,B.COM,BUSINESS LAW,92,11.02.2026,AN
79,I,II,23UCMS01,B.COM,SEC - INDUSTRIAL LAW,92,12.02.2026,FN
80,I,II,23UCME03,B.COM,ELECTIVE - INSURANCE & RISK MANAGEMENT,92,12.02.2026,AN
81,I,II,23UDM01,B.COM,DISASTER MANAGEMENT,92,13.02.2026,FN
82,I,II,23UTAN02,B.COM,PAYANMURAI TAMIL,92,13.02.2026,AN
83,II,IV,24UFTA04,B.COM,GENERAL TAMIL IV,77,10.02.2026,FN
84,II,IV,24UFEN04,B.COM,GENERAL ENGLISH IV,77,10.02.2026,AN
85,II,IV,23UCM07,B.COM,CORPORATE ACCOUNTING-II,77,11.02.2026,FN
86,II,IV,23UCM08,B.COM,PRINCIPLES OF MARKETING,77,11.02.2026,AN
87,II,IV,23UCME07,B.COM,ELECTIVE - CONSUMERISM & CONSUMER PROTECTION,77,12.02.2026,FN
88,II,IV,23UES01,B.COM,ENVIRONMENTAL STUDIES,77,13.02.2026,AN
89,III,VI,23UCM13,B.COM,COST ACCOUNTING-II,116,10.02.2026,FN
90,III,VI,23UCM14,B.COM,MANAGEMENT ACCOUNTING,116,10.02.2026,AN
91,III,VI,23UCME12,B.COM,ENTREPRENEURIAL DEVELOPMENT,116,11.02.2026,FN
92,III,VI,23UCC15,B.COM,INCOME TAX LAW & PRACTICE II,116,11.02.2026,AN
93,III,VI,23UCME14,B.COM,GENERAL AWARENESS FOR COMPETITIVE EXAMINATION,116,12.02.2026,FN
94,III,VI,23UCMGA01,B.COM,LOGISTICS AND SUPPLY CHAIN MANAGEMENT,116,12.02.2026,AN
95,I,II,24UFTA02,B.Com ACCOUNTING AND FINANCE,GENERAL TAMIL II,33,10.02.2026,FN
96,I,II,24UFEN02,B.Com ACCOUNTING AND FINANCE,GENERAL ENGLISH II,33,10.02.2026,AN
97,I,II,24UAF03,B.Com ACCOUNTING AND FINANCE,CORE III - FINANCIAL ACCOUNTING - II,33,11.02.2026,FN
98,I,II,24UAF04,B.Com ACCOUNTING AND FINANCE,CORE IV -BUSINESS LAW,33,11.02.2026,AN
99,I,II,24UAFF02,B.Com ACCOUNTING AND FINANCE,FOUNDATION COURSE - INDUSTRIAL LAW,33,12.02.2026,FN
100,I,II,23UECP05,B.Com ACCOUNTING AND FINANCE,ELECTIVE III - HUMAN RESOURCE MANAGEMENT (HRM),33,12.02.2026,AN
101,I,II,25UDM01,B.Com ACCOUNTING AND FINANCE,DISESTER MANAGEMENT ,33,13.02.2026,FN
102,I,II,23UTAN02,B.Com ACCOUNTING AND FINANCE,NMEC - PAYANMURAI TAMIL,33,13.02.2026,AN
103,II,IV,24UFTA04,B.Com ACCOUNTING AND FINANCE,GENERAL TAMIL IV,21,10.02.2026,FN
104,II,IV,24UFEN04,B.Com ACCOUNTING AND FINANCE,GENERAL ENGLISH IV,21,10.02.2026,AN
105,II,IV,23UAF07,B.Com ACCOUNTING AND FINANCE,CORE - VII - CORPOARTE ACCOUNTING - II,21,11.02.2026,FN
106,II,IV,23UAF08,B.Com ACCOUNTING AND FINANCE,CORE -VIII - PRINCIPLES OF MARKETING ,21,11.02.2026,AN
107,II,IV,23USTA04,B.Com ACCOUNTING AND FINANCE,ELECTIVE - IV - FINANCIAL DERIVATIVES ,21,12.02.2026,FN
108,II,IV,23UES01,B.Com ACCOUNTING AND FINANCE,ENVIRONMENTAL STUDIES,21,13.02.2026,AN
109,III,VI,23UAF13,B.Com ACCOUNTING AND FINANCE,CORE - XIII - COST ACCOUNTING -II,18,10.02.2026,FN
110,III,VI,23UAF14,B.Com ACCOUNTING AND FINANCE,CORE - XIV - MANAGEMENT ACCOUNTING,18,10.02.2026,AN
111,III,VI,23UAFDE06,B.Com ACCOUNTING AND FINANCE,DISPLINE SPECIFIC ELECTIVE 5/6 - COMPUTER APPLICATION IN BUSINESS ,18,11.02.2026,FN
112,III,VI,23UAF15,B.Com ACCOUNTING AND FINANCE,INCOME TAX LAW & PRACTICE II,18,11.02.2026,AN
113,III,VI,23UVE02,B.Com ACCOUNTING AND FINANCE,SE - GENERAL AWARENESS,18,12.02.2026,FN
114,III,VI,23UAFDE07,B.Com ACCOUNTING AND FINANCE,DISPLINE SPECIFIC ELECTIVE 7/8 - INDIAN ACCOUNTING STANADARD,18,12.02.2026,AN
115,I,II,24UFTA02,B.Com With COMPUTER APPLICATIONS,GENERAL TAMIL II,190,10.02.2026,FN
116,I,II,24UFEN02,B.Com With COMPUTER APPLICATIONS,GENERAL ENGLISH II,190,10.02.2026,AN
117,I,II,23UCC03,B.Com With COMPUTER APPLICATIONS,FINANCIAL ACCOUNTING - II,190,11.02.2026,FN
118,I,II,23UCC04,B.Com With COMPUTER APPLICATIONS,BUSINESS LAW,190,11.02.2026,AN
119,I,II,23UCCS01,B.Com With COMPUTER APPLICATIONS,INDUSTRIAL LAW,190,12.02.2026,FN
120,I,II,25UDM01,B.Com With COMPUTER APPLICATIONS,DISASTER MANAGEMENT ,190,13.02.2026,FN
121,I,II,23UTAN02,B.Com With COMPUTER APPLICATIONS,PAYANMURAITH TAMIL,190,13.02.2026,AN
122,II,IV,24UFTA04,B.Com With COMPUTER APPLICATIONS,GENERAL TAMIL IV,127,10.02.2026,FN
123,II,IV,24UFEN04,B.Com With COMPUTER APPLICATIONS,GENERAL ENGLISH IV,127,10.02.2026,AN
124,II,IV,23UCC06,B.Com With COMPUTER APPLICATIONS,CORPORATE ACCOUNTING II,127,11.02.2026,FN
125,II,IV,23UCC07,B.Com With COMPUTER APPLICATIONS,COMPANY LAW,127,11.02.2026,AN
126,II,IV,23UCSA10,B.Com With COMPUTER APPLICATIONS,RELATIONAL DATABASE MANAGEMENT SYSTEM,127,12.02.2026,FN
127,II,IV,23UES01,B.Com With COMPUTER APPLICATIONS,ENVIRONMENTAL STUDIES,127,13.02.2026,AN
128,III,VI,23UCC12,B.Com With COMPUTER APPLICATIONS,COST ACCOUNTING II,120,10.02.2026,FN
129,III,VI,23UCC14,B.Com With COMPUTER APPLICATIONS,MANAGEMENT ACCOUNTING,120,10.02.2026,AN
130,III,VI,23UCCE15,B.Com With COMPUTER APPLICATIONS,ENTREPRENEURIAL DEVELOPMENT,120,11.02.2026,FN
131,III,VI,23UCC13,B.Com With COMPUTER APPLICATIONS,INCOME TAX LAW & PRACTICE II,120,11.02.2026,AN
132,III,VI,23UCCGA01,B.Com With COMPUTER APPLICATIONS,GENERAL AWARNESS FOR COMPETITIVE EXAMINATION,120,12.02.2026,FN
133,I,II,24UFTA02,DEPARTMENT OF COMMERCE IT,GENERAL TAMIL II,64,10.02.2026,FN
134,I,II,24UFEN02,DEPARTMENT OF COMMERCE IT,GENERAL ENGLISH II,64,10.02.2026,AN
135,I,II,25UCIT03,DEPARTMENT OF COMMERCE IT,CORE III - FINANCIAL ACCOUNTING - II,64,11.02.2026,FN
136,I,II,25UCIEP02,DEPARTMENT OF COMMERCE IT,CORE IV -BUSINESS LAW,64,11.02.2026,AN
137,I,II,24UITS02,DEPARTMENT OF COMMERCE IT,SEC 3 - CORPORATE SOCIAL RESPONSIBILITY,64,12.02.2026,FN
138,I,II,NMSDC,DEPARTMENT OF COMMERCE IT,DISESTER MANAGEMENT ,64,13.02.2026,FN
139,I,II,23UTAN02,DEPARTMENT OF COMMERCE IT,NMEC - PAYANMURAI TAMIL,64,13.02.2026,AN
140,I,II,24UFTA02,DEPARTEMNT OF COMMERCE PA,GENERAL TAMIL II,23,10.02.2026,FN
141,I,II,24UFEN02,DEPARTEMNT OF COMMERCE PA,GENERAL ENGLISH II,23,10.02.2026,AN
142,I,II,24UAF03,DEPARTEMNT OF COMMERCE PA,CORE III - FINANCIAL ACCOUNTING - II,23,11.02.2026,FN
143,I,II,24UAF04,DEPARTEMNT OF COMMERCE PA,CORE IV -BUSINESS LAW,23,11.02.2026,AN
144,I,II,24UAFF02,DEPARTEMNT OF COMMERCE PA,FOUNDATION COURSE - INDUSTRIAL LAW,23,12.02.2026,FN
145,I,II,23UECP05,DEPARTEMNT OF COMMERCE PA,ELECTIVE III - COMPUTER APPLICATION BUSINESS ,23,12.02.2026,AN
146,I,II,25UDM01,DEPARTEMNT OF COMMERCE PA,DISESTER MANAGEMENT ,23,13.02.2026,FN
147,I,II,23UTAN02,DEPARTEMNT OF COMMERCE PA,NMEC - PAYANMURAI TAMIL,23,13.02.2026,AN
148,I,II,24UFTA02,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),GENERAL TAMIL II,81,10.02.2026,FN
149,I,II,24UFEN02,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),GENERAL ENGLISH II,81,10.02.2026,AN
150,I,II,23UAD02,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),INTRODUCTION TO PYTHON,81,11.02.2026,FN
151,I,II,23UADS02,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),INTRODUCTION TO HTML,81,11.02.2026,AN
152,I,II,23USTA04,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),EC1-STATISTICAL METHODS AND ITS APPLICATION - II,81,12.02.2026,FN
153,I,II,25UDM01,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),DISASTER MANAGEMENT,81,13.02.2026,FN
154,I,II,23UCMN02,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),ADVERTISING,81,13.02.2026,AN
155,II,IV, 24UFTA04,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),GENERAL TAMIL IV,64,10.02.2026,FN
156,II,IV,24UFEN04,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),GENERAL ENGLISH IV,64,10.02.2026,AN
157,II,IV,23UAD04,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),FUNDAMENTALS OF DATA SCIENCE,64,11.02.2026,FN
158,II,IV,23UADS07,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),OFFICE AUTOMATION,64,11.02.2026,AN
159,II,IV,23UMAA05,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),INTRODUCTION TO LINEAR ALGEBRA,64,12.02.2026,FN
160,II,IV,23UES01,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),ENVIRONMENTAL STUDIES,64,13.02.2026,AN
161,III,VI,23UAD07,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),ROBOTICS PROCESS AUTOMATION ,36,10.02.2026,FN
162,III,VI,23UAD08,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),NATURAL LANGUAGE PROCESSING,36,10.02.2026,AN
163,III,VI,23UADE13,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),GRID COMPUTING,36,11.02.2026,FN
164,III,VI,23UADE14,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),CLOUD COMPUTING ,36,11.02.2026,AN
165,III,VI,23UADS08 ,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),QUANTITATIVE APPTITUDE,36,12.02.2026,FN
166,I,II,24UFTA02,B.Sc ARTIFICIAL INTELLIGENCE & MACHINE LEARNING,GENERAL TAMIL II,27,10.02.2026,FN
167,I,II,24UFEN02,B.Sc ARTIFICIAL INTELLIGENCE & MACHINE LEARNING,GENERAL ENGLISH II,27,10.02.2026,AN
168,I,II,23UAM02,B.Sc ARTIFICIAL INTELLIGENCE & MACHINE LEARNING,PROGRAMMING IN JAVA,27,11.02.2026,FN
169,I,II,23UAMS02,B.Sc ARTIFICIAL INTELLIGENCE & MACHINE LEARNING,OFFICE AUTOMATION,27,11.02.2026,AN
170,I,II,23USTA04,B.Sc ARTIFICIAL INTELLIGENCE & MACHINE LEARNING,EC1-STATISTICAL METHODS AND ITS APPLICATION - II,27,12.02.2026,FN
171,I,II,25UDM01,B.Sc ARTIFICIAL INTELLIGENCE & MACHINE LEARNING,DISASTER MANAGEMENT,27,13.02.2026,FN
172,I,II,23UCMN02,B.Sc ARTIFICIAL INTELLIGENCE & MACHINE LEARNING,ADVERTISING,27,13.02.2026,AN
173,I,II,24UFTA02,B.Sc BIOCHEMISTRY,GENERAL TAMIL II,22,10.02.2026,FN
174,I,II,24UFEN02,B.Sc BIOCHEMISTRY,GENERAL ENGLISH II,22,10.02.2026,AN
175,I,II,23UBC02,B.Sc BIOCHEMISTRY,CELL BIOLOGY,22,11.02.2026,FN
176,I,II,23UCHA04,B.Sc BIOCHEMISTRY,ALLIED CHEMISTY FOR BIOLOGICAL SCIENCES -II,22,11.02.2026,AN
177,I,II,23UBON05,B.Sc BIOCHEMISTRY,HERBAL MEDICINE,22,12.02.2026,FN
178,I,II,23UBCS01,B.Sc BIOCHEMISTRY,FIRST AID,22,12.02.2026,AN
179,I,II,25UDM01,B.Sc BIOCHEMISTRY,DISASTER MANAGEMENT,22,13.02.2026,FN
180,II,IV,24UFTA04,B.Sc BIOCHEMISTRY,GENERAL TAMIL IV,11,10.02.2026,FN
181,II,IV,24UFEN04,B.Sc BIOCHEMISTRY,GENERAL ENGLISH IV,11,10.02.2026,AN
182,II,IV,23UBC04,B.Sc BIOCHEMISTRY,BIOCHEMICAL TECHNIQUES,11,11.02.2026,FN
183,II,IV,23UMBA01,B.Sc BIOCHEMISTRY,FUNDAMENTALS OF MICROBIOLOGY,11,11.02.2026,AN
184,II,IV,23UBCS05,B.Sc BIOCHEMISTRY,MEDICAL CODING,11,12.02.2026,FN
185,II,IV,23UES01,B.Sc BIOCHEMISTRY,ENVIRONMENTAL STUDIES,11,13.02.2026,AN
186,III,VI,23UBC08,B.Sc BIOCHEMISTRY,MOLECULAR BIOLOGY,34,10.02.2026,FN
187,III,VI,23UBC09,B.Sc BIOCHEMISTRY,HUMAN PHYSIOLOGY,34,10.02.2026,AN
188,III,VI,23UBC10,B.Sc BIOCHEMISTRY,PLANT BIOCHEMISTRY& PLANT THERAPEUTICS,34,11.02.2026,FN
189,III,VI,23UBCE04,B.Sc BIOCHEMISTRY,BIOTECHNOLOGY,34,11.02.2026,AN
190,III,VI,23UBCE05,B.Sc BIOCHEMISTRY,BIOINFORMATICS,34,12.02.2026,FN
191,I,II,24UFTA02,B.Sc COSTUME DESIGN AND FASHION,GENERAL TAMIL II,18,10.02.2026,FN
192,I,II,24UFEN02,B.Sc COSTUME DESIGN AND FASHION,GENERAL ENGLISH II,18,10.02.2026,AN
193,I,II,23UCDCT02,B.Sc COSTUME DESIGN AND FASHION,FASHION CLOTHING PHYCOLOGY ,18,11.02.2026,FN
194,I,II,23UCDDE02 ,B.Sc COSTUME DESIGN AND FASHION,APPAREL MANUFACTURING MACHINERIES  & EQUIPMENTS ,18,11.02.2026,AN
195,I,II,25UCDM01,B.Sc COSTUME DESIGN AND FASHION,DISASTER MANAGEMENT ,18,13.02.2026,FN
196,I,II,23UTAN01,B.Sc COSTUME DESIGN AND FASHION,PAYANMURAI TAMIL,18,13.02.2026,AN
197,II,IV,24UFTA04,B.Sc COSTUME DESIGN AND FASHION,GENERAL TAMIL IV,18,10.02.2026,FN
198,II,IV,24UFEN04,B.Sc COSTUME DESIGN AND FASHION,GENERAL ENGLISH IV,15,10.02.2026,AN
199,II,IV,23UCDDCT04 ,B.Sc COSTUME DESIGN AND FASHION,HISTORIC COSTUMES OF INDIA,15,11.02.2026,FN
